ACC,GSE49278,GSE19750,,
BLCA,GSE32894,EBI4321,,
BRCA,GSE29174,,,
CESC,GSE56303,,,
CHOL,GSE32225,GSE26566,,
DLBC,GSE10846,EBI346,,
GBM,Rembrandt,French,,
HNSC,GSE65858,GSE39366,,
KIRC,GSE19949,GSE15641,GSE40435,EBI3267
KIRP,GSE19949,GSE15641,GSE2748,
LIHC,GSE10141,GSE9843,GSE25097,
LUAD,GSE72094,GSE26939,,
LUSC,GSE4573,,,
MESO,GSE29354,,,
OV,GSE9891,GSE32062,,
PAAD,GSE71729,,,
PCPG,GSE19422,GSE19987,,
PRAD,GSE21034,,,
READ/COAD,GSE39582,GSE41258,,
SARC,GSE71118,,,
SKCM,GSE46517,GSE54467,EBI1,
STAD,GSE26253,GSE15459,,
TGCT,GSE8607,GSE99420,,
THCA,GSE27155,GSE33630,,
THYM,GSE29695,,,
UCEC,GSE14860,,,
UVM,GSE22138,,,
ESCA,GSE23400,,,
